cui_1,relship,cui_2
C1145640,TREATS(INFER),C0280100
C0085559,TREATS,C0008059
C0018155,CAUSES,C0275524
C0153252,PROCESS_OF,C1516213
C0021708,NEG_LOCATION_OF,C0596473
C0035648,PREDISPOSES,C0153252
C0035648,PREDISPOSES,C0877445
C0877445,PROCESS_OF,C1516213
C0153252,PROCESS_OF,C0030705
C0153252,PREDISPOSES,C0006840
C0230168,LOCATION_OF,C0006840
C0349410,PREDISPOSES,C0877445
C0153252,CAUSES,C0036690
C4048280,ASSOCIATED_WITH,C0036690
C0007620,PROCESS_OF,C2986594
C0007620,PROCESS_OF,C0026809
C0694894,PART_OF,C0026809
C0744235,PROCESS_OF,C0026809
C1137054,COEXISTS_WITH,C4048280
C0206745,LOCATION_OF,C0033684
C4048280,ASSOCIATED_WITH,C0744235
C0013216,TREATS(INFER),C0015967
C0054066,TREATS,C0030705
C0949665,TREATS,C0030705
C0023530,PROCESS_OF,C0030705
C0040808,USES,C0003232
C0085423,PROCESS_OF,C0030705
C3272281,PROCESS_OF,C0030705
C0040808,TREATS,C3714514
C0014834,CAUSES,C3714514
C0014834,CAUSES,C0376545
C0304320,NEG_AFFECTS,C1825598
C0282638,USES,C0949665
C3714514,COEXISTS_WITH,C0023530
C0304320,NEG_AFFECTS,C0036983
C1764827,PART_OF,C0014834
C0149978,PROCESS_OF,C0030705
C0436307,TREATS,C0149978
C1273428,TREATS,C0149978
C0031066,LOCATION_OF,C0036690
C0278250,PROCESS_OF,C0030705
C0677874,PROCESS_OF,C0030705
C0019189,COEXISTS_WITH,C0019132
C0019189,PROCESS_OF,C0007450
C2239176,PROCESS_OF,C0007450
C0019169,CAUSES,C0019189
C0019169,CAUSES,C2239176
C0042776,PROCESS_OF,C0007450
C0019132,PROCESS_OF,C0007450
C1519524,LOCATION_OF,C0005558
C0042776,COEXISTS_WITH,C0019158
C1825598,PART_OF,C0019132
C0028351,TREATS,C0036983
C0036983,PROCESS_OF,C1516213
C0042413,compared_with,C0028351
C0042413,TREATS,C0036983
C0042413,TREATS,C0030705
C0042413,TREATS(INFER),C0036974
C0028351,TREATS,C1516213
