pmid,cui
31421114,C0007222
31421114,C0024117
31421114,C0151317
31421114,C0029118
31421114,C0184666
31421114,C0805586
31418395,C0376545
31418395,C0442726
31418395,C0229664
31418395,C1535922
31418395,C1511790
31418395,C0005767
31417013,C3897254
31417013,C0033572
31417013,C0008809
31417013,C0014834
31417013,C0085483
31417013,C0315286
31417013,C0149801
31417013,C1708385
31409524,C0004610
31409524,C0221198
31409524,C0017185
31409524,C0006826
31409524,C0009402
31409524,C0022727
31409524,C0238748
31409524,C0021853
31408541,C0085273
31408541,C3470196
31408541,C0005558
31407169,C0005775
31407169,C0392920
31407169,C0004610
31407169,C0282583
31407169,C0746883
31407169,C0006826
31407169,C0030705
31407169,C0014344
31401304,C1418610
31401304,C0006826
31398522,C0038525
31398522,C0011065
31397716,C0040590
31397716,C4329809
31385488,C0004610
31385488,C0746883
31385488,C0006826
31385488,C0445625
31385488,C0020649
31385488,C0039231
31385488,C0231835
31382912,C0041182
31382912,C0205851
31382912,C0683320
31377635,C1145640
31365161,C3714514
31365161,C0376545
31365161,C1011188
31365161,C0521990
31365161,C0013216
31365161,C0393080
31365161,C0750466
31365161,C1268551
31362783,C0004610
31362783,C0015967
31362783,C2744535
31362783,C0023530
31362783,C0014834
31362783,C0376545
31362783,C4076168
31356477,C0006826
31356475,C1875730
31356475,C3177188
31356475,C0001924
31356475,C0036690
31356475,C0036983
31356475,C1719672
31356475,C0073385
31356475,C0035273
31352911,C0023530
31352911,C0376545
31352911,C4534318
31339233,C0000768
31339233,C0024291
31318820,C0376545
31318820,C0744471
31318820,C0006826
31318820,C0587437
31318820,C0472699
31318655,C0000731
31318655,C0003617
31315561,C1373218
31315561,C0022885
31315561,C0020971
31315561,C0021708
31300597,C0003483
31300597,C0014118
31300597,C0036690
31300597,C0006826
31300597,C0028240
31300597,C0028242
31300597,C0006142
31300597,C1142550
31300323,C0011860
31300323,C0019993
31300323,C0006826
31300323,C0036690
31300323,C3272283
31292033,C0242379
